== independent tame DFS: k=4, pos(v) <= floor(15*v/8), maxdepth=45 ==
n           count        dead
1                  1           0
2                  1           0
3                  2           0
4                  3           0
5                  8           0
6                 17           0
7                 33           1
8                 84           1
9                357         147
10               546           9
11              1633         151
12              4206        1113
13             10394        1561
14             35174        5244
15            109009       31782
16            265880      150730
17            394735      188434
18            717016      435075
19            882426      192108
20           2424620      790234
21           5902186     2621365
22          10080993     5204718
23          16868496     7921487
24          38141297    19700887
25          79257258    38571895
26         148384221    78328557
27         247559981   128770638
28         416487877   297733221
29         400326326   277843701
30         556720775   441103920
31         464059535   416356634
32         164997482   141027894
33          87607915    83563529
34          12459736    12168076
35            759580      748888
36             42252       42252
37                 0           0
EXTINCT at n=37
total nodes visited: 2654502055
