# Erdos 289, route-A verified certificates: legal U (no isolated point, min>=2)
# with sum_{n in U} 1/n = 1 exactly.  Format:  r  M  max | elements
# r = #maximal runs, M = sum_i floor(L_i/2).  P(k) holds for r <= k <= M.
# All lines re-checked by verify.py (Fraction) and by integer lcm arithmetic.
 8  9  85 | 7 8 9 10 14 15 17 18 19 34 35 36 44 45 56 57 76 77 84 85
 9  9  85 | 5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
10 10  85 | 6 7 8 14 15 17 18 26 27 34 35 44 45 54 55 56 65 66 77 78 84 85
11 11  85 | 7 8 11 12 17 18 21 22 26 27 28 33 34 44 45 54 55 56 65 66 77 78 84 85
10 11  91 | 7 8 10 11 17 18 19 21 22 33 34 35 36 44 45 56 57 76 77 78 84 85 90 91
11 11  91 | 9 10 11 14 15 17 18 21 22 26 27 28 33 34 39 40 54 55 56 65 66 84 85 90 91
13 13  96 | 10 11 12 14 15 20 21 22 26 27 32 33 35 36 38 39 44 45 54 55 56 65 66 76 77 90 91 95 96
 7  8 100 | 5 6 9 10 11 12 21 22 25 26 65 66 77 78 99 100
 7  7 100 | 4 5 9 10 11 21 22 25 26 65 66 77 78 99 100
 8  8 100 | 3 4 20 21 22 25 26 27 44 45 54 55 65 66 77 78 99 100
 8  8 100 | 5 6 9 10 14 15 19 20 24 25 55 56 57 76 77 99 100
 8 10 100 | 6 7 8 9 20 21 22 25 26 27 28 39 40 54 55 65 66 90 91 99 100
 8  9 100 | 5 6 9 10 18 19 20 21 24 25 55 56 57 76 77 78 90 91 99 100
 9 10 100 | 5 6 9 10 21 22 25 26 27 28 39 40 54 55 56 65 66 90 91 99 100
 9 10 100 | 6 7 9 10 19 20 21 24 25 27 28 35 36 54 55 56 57 76 77 99 100
 9 12 100 | 9 10 14 15 18 19 20 21 22 24 25 26 27 28 44 45 54 55 56 57 65 66 76 77 78 99 100
 9  9 100 | 5 6 10 11 14 15 21 22 25 26 35 36 65 66 77 78 99 100
 9  9 100 | 5 6 8 9 14 15 24 25 27 28 54 55 77 78 90 91 99 100
