# 2497 distinct multisets of maximal run lengths
# count  multiset
489 4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
482 4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
473 4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
442 4,3,3,3,2,2,2,2,2,2,2,2,2,2
440 4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
435 4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
424 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
407 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
405 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
404 4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
399 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
394 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
368 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
365 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
362 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
345 4,3,3,2,2,2,2,2,2,2,2,2,2,2
329 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
327 4,3,3,3,3,2,2,2,2,2,2,2,2,2
318 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
297 3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
294 3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
285 3,3,3,2,2,2,2,2,2,2,2,2,2,2
279 4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
276 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
273 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
272 3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
271 3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
264 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
263 3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
261 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
258 4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
256 3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
250 4,3,3,3,2,2,2,2,2,2,2,2,2
241 4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
232 4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
227 4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
225 3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
221 3,3,3,3,2,2,2,2,2,2,2,2,2,2
217 4,3,3,2,2,2,2,2,2,2,2,2,2
213 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
213 4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
210 4,4,3,3,2,2,2,2,2,2,2,2,2,2,2
201 4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
199 3,3,2,2,2,2,2,2,2,2,2,2,2,2
199 5,3,3,3,2,2,2,2,2,2,2,2,2,2,2
197 4,3,3,3,3,2,2,2,2,2,2,2,2
185 3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
184 4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
182 4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
180 3,3,3,2,2,2,2,2,2,2,2,2,2
180 4,3,2,2,2,2,2,2,2,2,2,2,2,2
179 4,4,3,3,3,2,2,2,2,2,2,2,2,2
178 3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
178 4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
177 3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
174 4,4,3,3,2,2,2,2,2,2,2,2,2,2
169 3,3,3,3,3,2,2,2,2,2,2,2,2,2
166 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
164 4,3,3,3,3,3,2,2,2,2,2,2,2,2
157 3,3,2,2,2,2,2,2,2,2,2,2,2
148 5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
147 3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
144 5,3,3,3,3,2,2,2,2,2,2,2,2,2,2
143 4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
143 4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
143 5,3,3,3,2,2,2,2,2,2,2,2,2,2
143 5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
143 5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
142 4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
140 3,3,3,3,2,2,2,2,2,2,2,2,2
138 5,3,3,2,2,2,2,2,2,2,2,2,2,2,2
137 3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
136 4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
133 4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
130 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
130 5,4,3,3,3,2,2,2,2,2,2,2,2,2,2
129 4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
128 5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
127 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
127 4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
125 5,3,3,2,2,2,2,2,2,2,2,2,2,2
