VALIDATION: all subsets of [2,N] with sum 1/n = 1
 N   true count   heuristic
 12           2          3.472   (t*=0.366)
 15           5          8.643   (t*=1.112)
 18          10          18.13   (t*=1.733)
 20          21          33.14   (t*=2.103)
 24          40           67.5   (t*=2.779)
 30           ?          343.4   (t*=3.692)
 40           ?           3067   (t*=5.081)
 50           ?       2.09e+04   (t*=6.398)
 60           ?      3.371e+05   (t*=7.687)
 80           ?      1.239e+08   (t*=10.238)
