 N   |A|   m(N)   witness
  4     0    ---   (RULE A universe empty: no U at all)
  5     0    ---   (RULE A universe empty: no U at all)
  6     3    1     2 3 6
  7     3    1     2 3 6
  8     3    1     2 3 6
  9     3    1     2 3 6
 10     3    1     2 3 6
 11     3    1     2 3 6
 12     5    1     2 3 6
 13     5    1     2 3 6
 14     5    1     2 3 6
 15     8    1     2 3 6
 16     8    1     2 3 6
 17     8    1     2 3 6
 18    10    1     2 3 6
 19    10    1     2 3 6
 20    11    1     2 3 6
 21    11    1     2 3 6
 22    11    1     2 3 6
 23    11    1     2 3 6
 24    13    1     2 3 6
 25    13    1     2 3 6
 26    13    1     2 3 6
 27    13    1     2 3 6
 28    17    1     2 3 6
 29    17    1     2 3 6
 30    18    1     2 3 6
 31    18    1     2 3 6
 32    18    1     2 3 6
 33    21    1     2 3 6
 34    21    1     2 3 6
 35    22    1     2 3 6
 36    23    1     2 3 6
 37    23    1     2 3 6
 38    23    1     2 3 6
 39    23    1     2 3 6
 40    24    1     2 3 6
 41    24    1     2 3 6
 42    25    1     2 3 6
 43    25    1     2 3 6
 44    26    1     2 3 6
 45    27    1     2 3 6
 46    27    1     2 3 6
 47    27    1     2 3 6
 48    29    1     2 3 6
 49    29    1     2 3 6
 50    29    1     2 3 6
 51    29    1     2 3 6
 52    33    1     2 3 6
 53    33    1     2 3 6
 54    35    1     2 3 6
 55    36    1     2 3 6
 56    37    1     2 3 6
 57    37    1     2 3 6
 58    37    1     2 3 6
 59    37    1     2 3 6
 60    38    1     2 3 6
 61    38    1     2 3 6
 62    38    1     2 3 6
 63    39    1     2 3 6
 64    39    1     2 3 6
 65    40    1     2 3 6
 66    41    1     2 3 6
 67    41    1     2 3 6
 68    41    1     2 3 6
 69    41    1     2 3 6
 70    42    1     2 3 6
 71    42    1     2 3 6
 72    43    1     2 3 6
 73    43    1     2 3 6
 74    43    1     2 3 6
 75    46    1     2 3 6
 76    50    1     2 3 6
 77    51    1     2 3 6
 78    52    1     2 3 6
 79    52    1     2 3 6
 80    53    1     2 3 6
 81    53    1     2 3 6
 82    53    1     2 3 6
 83    53    1     2 3 6
 84    54    1     2 3 6
 85    59    0     5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
 86    59    0     5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
 87    59    0     5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
 88    60    0     5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
 89    60    0     5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
 90    61    0     5 6 14 15 17 18 20 21 22 27 28 33 34 44 45 54 55 84 85
