    U=46 V=136 W=1: SAT  (4s)
    U=46 V=136 W=2: SAT  (6s)
    U=46 V=136 W=3: SAT  (9s)
    U=46 V=136 W=4: SAT  (11s)
    U=46 V=136 W=5: SAT  (13s)
    U=46 V=136 W=6: SAT  (16s)
    U=46 V=136 W=7: SAT  (18s)
    U=46 V=136 W=8: SAT  (22s)
    U=46 V=136 W=9: SAT  (25s)
    U=46 V=136 W=10: SAT  (27s)
    U=46 V=136 W=11: UNSAT  (29s)
    U=46 V=136 W=12: UNSAT  (31s)
    U=46 V=136 W=13: UNSAT  (33s)
    U=46 V=136 W=14: UNSAT  (36s)
    U=46 V=136 W=15: UNSAT  (37s)
    U=46 V=136 W=16: UNSAT  (39s)
### U=  46 V=  136 ratio=2.96  W=1..16: SSSSSSSSSSUUUUUU  W*=10  (U/W*=4.60)
    U=55 V=163 W=1: SAT  (30s)
