          X      b        y      Npair      dens       E      E1      E2     Esm    pass   passS2    Plpf   sqfr  omega
   30000000  0.500     5477    3315167  1.11e-01  1.6650  1.5583  0.1066  0.2682  0.1119  0.10374  0.4911  0.708   5.85
   30000000  0.450     2315    1677050  5.59e-02  1.6164  1.4837  0.1327  0.2433  0.1250  0.11440  0.4592  0.666   6.09
   30000000  0.400      979     678930  2.26e-02  1.5607  1.3854  0.1753  0.2221  0.1404  0.12595  0.4277  0.607   6.30
   30000000  0.350      413     195316  6.51e-03  1.4446  1.1922  0.2524  0.2156  0.1731  0.15066  0.3684  0.522   6.44
   30000000  0.300      175      36581  1.22e-03  1.3954  1.0055  0.3899  0.2298  0.1812  0.14592  0.3400  0.406   6.30
   30000000  0.250       74       4653  1.55e-04  1.4530  0.8637  0.5893  0.2227  0.1504  0.09478  0.3701  0.326   5.47
  100000000  0.500    10000   10943151  1.09e-01  1.6504  1.5613  0.0890  0.2419  0.1163  0.11017  0.4872  0.715   6.06
  100000000  0.450     3981    5486501  5.49e-02  1.5976  1.4874  0.1102  0.2213  0.1309  0.12281  0.4542  0.676   6.33
  100000000  0.400     1584    2219619  2.22e-02  1.5369  1.3923  0.1445  0.1851  0.1485  0.13756  0.4207  0.622   6.58
  100000000  0.350      630     623586  6.24e-03  1.4018  1.1934  0.2084  0.1839  0.1886  0.17101  0.3550  0.542   6.79
  100000000  0.300      251     111335  1.11e-03  1.3387  1.0097  0.3290  0.1728  0.2041  0.17605  0.3169  0.427   6.79
  100000000  0.250      100       9486  9.49e-05  1.4006  0.8555  0.5451  0.1803  0.1735  0.12366  0.3391  0.313   6.00
