ratio  block  values          size   inv  noinc3   no4   verdict   secs
    3      1  [3..8]      6     2      4      3   SAT        0.0
    3      2  [9..26]     18    35     40     45   SAT        0.0
    3      3  [27..80]     54   354    364    459   UNSAT      0.0
    4      1  [4..15]     12     7     18     18   SAT        0.0
    4      2  [16..63]     48   159    288    360   SAT        0.0
    4      3  [64..255]    192  2763   4608   6048   UNSAT      0.1
    5      1  [5..24]     20    15     47     57   SAT        0.0
    5      2  [25..124]    100   492   1217   1617   SAT        0.4
    5      3  [125..624]  size=500 > 200: skipped
    6      1  [6..35]     30    27    103    135   SAT        0.0
