ratio block   values            size   inv  noinc3   no4  verdict  secs
    3     1  [3..8]      6      2      4      3  SAT         0.0
    3     2  [9..26]     18     35     40     45  SAT         0.2
    3     3  [27..80]     54    354    364    459  UNSAT       8.2
    4     1  [4..15]     12      7     18     18  SAT         0.1
    4     2  [16..63]     48    159    288    360  SAT         5.4
    4     3  [64..255]    192   2763   4608   6048  UNSAT     133.6
    5     1  [5..24]     20     15     47     57  SAT         0.2
    5     2  [25..124]    100    492   1217   1617  UNKNOWN   900.1
    6     1  [6..35]     30     27    103    135  SAT         0.8
    6     2  [36..215]    180   1233   3816   5310  UNKNOWN   900.3
    7     1  [7..48]     42     45    196    273  SAT         3.5
    7     2  [49..342]    294   2679   9867  14259  UNKNOWN   900.2
    8     1  [8..63]     56     70    341    495  SAT        15.1
