cls	C	rounding	max_N_exists	min_N_extinct	max_N_extinct_checked	unknown_N	extinction_monotone
A	1/1	f	-	4	10	-	yes
A	3/2	f	14	15	21	-	yes
A	7/4	f	30	31	37	-	yes
A	15/8	f	36	37	38	-	yes
A	2/1	c	39	-	-	-	yes
A	2/1	f	49	-	-	-	yes
A	5/2	c	50	-	-	-	yes
A	3/1	f	55	-	-	-	yes
B	1/1	f	-	4	10	-	per-N
B	3/2	f	16	17	23	-	per-N
B	2/1	f	49	-	-	-	per-N
C	1/1	f	-	4	10	-	per-N
C	3/2	f	14	15	21	-	per-N
C	2/1	f	49	50	56	-	per-N
D	2/1	f	49	-	-	-	yes
S	1/1	f	-	4	10	-	yes
S	5/4	f	5	6	12	-	yes
S	4/3	f	17	18	24	-	yes
S	3/2	f	34	-	-	-	yes
