== beam: k=3, pos(v)<=floor(num*v/den) (num=6 den=1), cap=2000000, seed=196 ==
level  1 ->  2 : children generated 2 (EXACT width)
level  2 ->  3 : children generated 4 (EXACT width)
level  3 ->  4 : children generated 10 (EXACT width)
level  4 ->  5 : children generated 20 (EXACT width)
level  5 ->  6 : children generated 48 (EXACT width)
level  6 ->  7 : children generated 94 (EXACT width)
level  7 ->  8 : children generated 216 (EXACT width)
level  8 ->  9 : children generated 354 (EXACT width)
level  9 -> 10 : children generated 616 (EXACT width)
level 10 -> 11 : children generated 1350 (EXACT width)
level 11 -> 12 : children generated 3064 (EXACT width)
level 12 -> 13 : children generated 5317 (EXACT width)
level 13 -> 14 : children generated 9939 (EXACT width)
level 14 -> 15 : children generated 18190 (EXACT width)
level 15 -> 16 : children generated 40876 (EXACT width)
level 16 -> 17 : children generated 48264 (EXACT width)
level 17 -> 18 : children generated 65524 (EXACT width)
level 18 -> 19 : children generated 83000 (EXACT width)
level 19 -> 20 : children generated 155646 (EXACT width)
level 20 -> 21 : children generated 113436 (EXACT width)
level 21 -> 22 : children generated 261044 (EXACT width)
level 22 -> 23 : children generated 255082 (EXACT width)
level 23 -> 24 : children generated 524586 (EXACT width)
level 24 -> 25 : children generated 208404 (EXACT width)
level 25 -> 26 : children generated 294412 (EXACT width)
level 26 -> 27 : children generated 272544 (EXACT width)
level 27 -> 28 : children generated 51700 (EXACT width)
level 28 -> 29 : children generated 0 (EXACT width)
beam EXTINCT after level 28
