== tame DFS: k=4, constraint pos(v) <= v+K, depth<=64, budget=100000000 ==
   (num=3 den=1)
n         tame_count    tame_dead maxbranch
1                  1            0        2
2                  2            0        3
3                  6            0        4
4                 22            1        5
5                 83            4        6
6                306           23        7
7                963           69        8
8               2879          229        9
9               8133         2075       10
10             16389         4468       11
11             28285         8360       12
12             43373        28235       12
13             30661        20917       12
14             18756        10712        9
15             15162        13656        4
16              3147         2860        4
17               446          374        1
18                72           72        0
19                 0            0        0
EXTINCT at n=19 (no tame avoiders)
total nodes visited: 168686
