== SIS: 32 batches x 1000000 samples, seed=196, NMAX=32 ==
n          est_count        stderr       rel |   deadfrac    P(r<=2)    P(r<=3)    P(r<=4)    E[pos1]  E[maxrat]
1       1.000000e+00     0.000e+00   0.0000% |  0.000e+00  1.000e+00  1.000e+00  1.000e+00     1.0000     1.0000
2       2.000000e+00     0.000e+00   0.0000% |  0.000e+00  1.000e+00  1.000e+00  1.000e+00     1.4999     1.4999
3       6.000000e+00     0.000e+00   0.0000% |  0.000e+00  6.668e-01  1.000e+00  1.000e+00     1.9999     2.0832
4       2.200073e+01     4.416e-04   0.0020% |  0.000e+00  5.001e-01  7.727e-01  1.000e+00     2.4998     2.6513
5       1.020023e+02     2.992e-03   0.0029% |  0.000e+00  2.943e-01  6.079e-01  8.137e-01     2.9996     3.2007
6       5.640240e+02     2.013e-02   0.0036% |  0.000e+00  1.810e-01  5.001e-01  6.774e-01     3.4996     3.7452
7       3.335965e+03     1.754e-01   0.0053% |  0.000e+00  8.280e-02  3.484e-01  5.813e-01     3.9996     4.2812
8       2.226568e+04     1.522e+00   0.0068% |  0.000e+00  4.113e-02  2.543e-01  5.000e-01     4.4996     4.8239
9       1.688614e+05     1.480e+01   0.0088% |  0.000e+00  2.160e-02  1.904e-01  3.886e-01     4.9995     5.3746
10      1.307411e+06     1.447e+02   0.0111% |  0.000e+00  9.531e-03  1.162e-01  2.976e-01     5.4992     5.9028
11      1.106663e+07     1.347e+03   0.0122% |  0.000e+00  3.774e-03  7.511e-02  2.380e-01     5.9991     6.4454
12      1.013712e+08     1.440e+04   0.0142% |  5.061e-03  1.632e-03  5.085e-02  1.895e-01     6.4993     6.9899
13      9.499236e+08     1.437e+05   0.0151% |  5.798e-03  5.249e-04  3.137e-02  1.351e-01     6.9989     7.5172
14      9.471403e+09     1.617e+06   0.0171% |  6.506e-03  1.936e-04  2.019e-02  9.873e-02     7.4989     8.0563
15      1.001192e+11     1.786e+07   0.0178% |  1.368e-02  6.898e-05  1.337e-02  7.316e-02     7.9984     8.5982
16      1.056251e+12     1.777e+08   0.0168% |  1.365e-02  2.215e-05  7.375e-03  5.196e-02     8.4984     9.1117
17      1.191582e+13     2.346e+09   0.0197% |  1.497e-02  6.440e-06  4.265e-03  3.693e-02     8.9987     9.6596
18      1.403072e+14     3.111e+10   0.0222% |  1.863e-02  2.428e-06  2.574e-03  2.682e-02     9.4989    10.2029
19      1.618610e+15     4.581e+11   0.0283% |  2.011e-02  3.727e-07  1.278e-03  1.835e-02     9.9994    10.7055
20      1.938061e+16     5.226e+12   0.0270% |  2.026e-02  1.605e-08  6.577e-04  1.310e-02    10.4993    11.2351
21      2.439397e+17     6.884e+13   0.0282% |  2.791e-02  8.509e-09  3.833e-04  9.117e-03    10.9988    11.7831
22      3.026092e+18     1.017e+15   0.0336% |  2.908e-02  1.328e-10  1.850e-04  5.795e-03    11.4984    12.2958
23      3.898008e+19     1.680e+16   0.0431% |  3.079e-02  0.000e+00  9.944e-05  3.962e-03    11.9958    12.8318
24      5.160540e+20     2.912e+17   0.0564% |  3.669e-02  0.000e+00  5.382e-05  2.682e-03    12.4966    13.3724
25      6.915937e+21     4.792e+18   0.0693% |  3.982e-02  0.000e+00  2.472e-05  1.687e-03    12.9968    13.8918
26      9.447801e+22     6.802e+19   0.0720% |  4.183e-02  0.000e+00  1.259e-05  1.051e-03    13.4962    14.4288
27      1.327357e+24     1.041e+21   0.0784% |  4.743e-02  0.000e+00  6.416e-06  6.787e-04    13.9958    14.9758
28      1.813408e+25     1.653e+22   0.0912% |  4.710e-02  0.000e+00  1.944e-06  3.828e-04    14.4988    15.4698
29      2.572652e+26     2.778e+23   0.1080% |  4.882e-02  0.000e+00  4.951e-07  2.300e-04    14.9980    16.0084
30      3.723780e+27     4.419e+24   0.1187% |  5.656e-02  0.000e+00  1.828e-07  1.464e-04    15.4951    16.5472
31      5.343893e+28     6.465e+25   0.1210% |  5.869e-02  0.000e+00  5.791e-08  9.198e-05    15.9976    17.0699
32      7.788209e+29     1.170e+27   0.1502% |  5.711e-02  0.000e+00  1.407e-08  5.882e-05    16.5010    17.6027
