== tame DFS: k=4, constraint pos(v) <= floor(num*v/den), depth<=64, budget=1000000000 ==
   (num=3 den=2)
n         tame_count    tame_dead maxbranch
1                  1            0        1
2                  1            0        2
3                  2            0        2
4                  3            0        2
5                  4            0        3
6                  9            2        3
7                 13            5        4
8                 13            0        5
9                 33           23        3
10                17            5        3
11                24            0        4
12                50           27        5
13                78           50        1
14                28           28        0
15                 0            0        0
EXTINCT at n=15 (no tame avoiders)
total nodes visited: 276
== tame DFS: k=4, constraint pos(v) <= floor(num*v/den), depth<=64, budget=1000000000  [BUDGET EXCEEDED - counts are partial lower bounds] ==
   (num=2 den=1)
n         tame_count    tame_dead maxbranch
1                  1            0        2
2                  1            0        1
3                  1            0        2
4                  1            0        3
5                  1            0        3
6                  1            0        1
7                  1            0        1
8                  1            0        3
9                  3            0        3
10                 6            0        3
11                10            0        6
12                43            2        6
13                84            0        6
14               245           85        9
15               419          359        3
16                90            1       11
17               275           18       10
18               814          392       10
19              1318          492       12
20              2022           67        6
21              5849          820       14
22             18262         2417       15
23             59191        12625        9
24            140536        31118        9
25            478863       103981       10
26           1467902       766788       10
27           2026365       265230       11
28           7244071      1545509       12
29          22058285     12925370       13
30          26032679     15285259       13
31          61378912     48398665       12
32          43997431     22105256       17
33         105235143     59440099       16
34         299710704    213857405       17
35         430140470    430140470        0
36                 0            0        0
EXTINCT at n=36 (no tame avoiders)
total nodes visited: 1000000001
== tame DFS: k=4, constraint pos(v) <= floor(num*v/den), depth<=64, budget=1000000000  [BUDGET EXCEEDED - counts are partial lower bounds] ==
   (num=5 den=2)
n         tame_count    tame_dead maxbranch
1                  1            0        2
2                  1            0        1
3                  1            0        2
4                  1            0        3
5                  1            0        3
6                  1            0        5
7                  1            0        1
8                  1            0        2
9                  1            0        3
10                 1            0        2
11                 1            0        5
12                 2            0        4
13                 5            0        2
14                 6            0        8
15                26            0        6
16               119          118        2
17                 1            0        8
18                 1            0        1
19                 1            0       11
20                 1            0        1
21                 1            0        1
22                 1            0        3
23                 1            0        2
24                 1            0        3
25                 1            0        6
26                 1            0        5
27                 1            0        3
28                 1            0        8
29                 2            0        3
30                 4            0        4
31                14            0        7
32                86            0        8
33               505            6        7
34              2583          797        7
35              6120         3524        4
36              4102         1853        6
37              5957         1043        7
38             18713         4603        9
39             55594        30394        8
40             71112         6152        9
41            237949        57279        8
42            650902        85416       10
43           2299335       549660       18
44          10057361      4844529       15
45          37650085      3300722       17
46         228571846     68637515       18
47         720367549    720367549        0
48                 0            0        0
EXTINCT at n=48 (no tame avoiders)
total nodes visited: 1000000001
