== tsis: k=4, pos(v)<=floor(num*v/den) (num=2 den=1), 32 batches x 300000, seed=196 ==
n     est_tame_count        stderr        rel
1       1.000000e+00     0.000e+00     0.000%
2       2.000000e+00     0.000e+00     0.000%
3       4.000740e+00     6.065e-04     0.015%
4       1.100423e+01     2.638e-03     0.024%
5       3.001273e+01     1.018e-02     0.034%
6       1.020408e+02     4.927e-02     0.048%
7       2.762689e+02     1.821e-01     0.066%
8       9.157888e+02     7.816e-01     0.085%
9       3.640608e+03     4.124e+00     0.113%
10      1.244461e+04     1.885e+01     0.151%
11      4.156784e+04     9.478e+01     0.228%
12      1.648777e+05     4.675e+02     0.284%
13      5.015266e+05     2.379e+03     0.474%
14      1.856063e+06     1.251e+04     0.674%
15      6.914148e+06     7.835e+04     1.133%
16      2.306391e+07     4.047e+05     1.755%
17      7.841404e+07     2.897e+06     3.694%
18      3.118390e+08     1.524e+07     4.887%
19      5.857863e+08     2.558e+07     4.367%
20      1.282800e+09     9.491e+07     7.399%
21      3.905476e+09     3.060e+08     7.835%
22      8.645872e+09     8.133e+08     9.407%
23      2.142837e+10     2.574e+09    12.012%
24      5.774081e+10     8.478e+09    14.683%
25      2.597191e+11     7.971e+10    30.692%
26      7.806562e+11     4.543e+11    58.194%
27      6.371893e+12     4.960e+12    77.846%
28      1.572804e+12     4.763e+11    30.281%
29      3.990409e+12     1.917e+12    48.046%
30      2.798479e+12     9.035e+11    32.284%
31      7.410892e+12     4.557e+12    61.492%
32      9.025305e+12     4.490e+12    49.752%
33      1.970545e+13     9.987e+12    50.679%
34      4.006240e+13     2.599e+13    64.878%
35      2.945509e+13     1.548e+13    52.545%
36      3.084219e+13     2.300e+13    74.560%
37      5.128523e+13     4.772e+13    93.040%
38      8.752804e+12     4.679e+12    53.453%
39      3.058416e+13     3.058e+13    99.993%
40      3.364045e+14     3.364e+14   100.000%
41      6.728089e+14     6.728e+14   100.000%
42      0.000000e+00     0.000e+00     0.000%
(no surviving samples beyond n=42)
