  pair (10,11): ALIVE M0=78 ratio=7.09 [1s]
  pair (10,12): ALIVE M0=86 ratio=7.17 [1s]
  pair (10,13): ALIVE M0=93 ratio=7.15 [1s]
  pair (10,14): ALIVE M0=102 ratio=7.29 [3s]
  pair (10,15): DEAD M0=43 ratio=2.87 [0s]
  pair (10,16): DEAD M0=46 ratio=2.88 [0s]
  pair (10,17): DEAD M0=49 ratio=2.88 [0s]
  pair (10,18): DEAD M0=52 ratio=2.89 [0s]
  pair (10,19): DEAD M0=55 ratio=2.89 [0s]
  pair (10,20): DEAD M0=58 ratio=2.90 [0s]
  pair (10,21): DEAD M0=61 ratio=2.90 [0s]
  pair (10,22): DEAD M0=160 ratio=7.27 [210s]
  pair (10,23): DEAD M0=127 ratio=5.52 [22s]
  pair (10,24): DEAD M0=107 ratio=4.46 [7s]
  pair (10,25): DEAD M0=73 ratio=2.92 [0s]
  pair (10,26): DEAD M0=76 ratio=2.92 [0s]
  pair (10,27): DEAD M0=103 ratio=3.81 [6s]
  pair (10,28): DEAD M0=82 ratio=2.93 [0s]
  pair (10,29): DEAD M0=85 ratio=2.93 [0s]
  pair (10,30): DEAD M0=152 ratio=5.07 [313s]
