T=200 target=1/2 margin=23/20
      N   z0     z    |A|  bits    maxsum
   1000   23   100    258   125   0.58752
   1000   23   150    264   131   0.59814
   1000   23   300    264   131   0.59814
   1000   23  2000    264   131   0.59814
   1100   23   100    278   125   0.60749
   1100   23   150    284   131   0.61811
   1100   23   300    284   131   0.61811
   1100   23  2000    284   131   0.61811
   1200   23   100    299   128   0.62868
   1200   23   150    305   135   0.63929
   1200   23   300    305   135   0.63929
   1200   23  2000    305   135   0.63929
best: (1000, 23, 100, 258)
