# P2 pivot elimination scan, lattices L in [3200, 200000]
# pool S(L) = {m | L : m>=3, 2m+1 prime};  tests: budget>1 and Phi_q>=1 for q | L
# SCOPE: a KILL only rules out pivot coverings whose lcm divides L. Not a proof for H\{2}.
  L = 3240     |S| =  22 budget 1.24198  NODECAP q=3 -> UNDECIDED
  L = 3360     |S| =  21 budget 1.21548  SURVIVES ->  needs SAT   pool: 1680 3 5 6 8 336 14 15 224 210 20 168 21 140 120 30 105 35 96 48 56
  L = 3600     |S| =  19 budget 1.25417  SURVIVES ->  needs SAT   pool: 3 900 5 6 600 8 9 300 15 18 200 20 30 120 36 90 48 75 50
  L = 3780     |S| =  25 budget 1.28228  SURVIVES ->  needs SAT   pool: 3780 3 1260 5 6 9 378 315 14 270 15 18 210 20 189 21 140 135 30 35 36 105 90 54 63
  L = 3960     |S| =  22 budget 1.36288  SURVIVES ->  needs SAT   pool: 3 5 6 660 8 495 9 440 11 330 15 18 20 198 165 30 33 120 36 99 44 90
  L = 4200     |S| =  25 budget 1.22548  SURVIVES ->  needs SAT   pool: 2100 3 1400 5 6 600 8 525 350 14 300 15 20 210 21 200 168 30 140 35 120 105 50 56 75
  L = 4320     |S| =  21 budget 1.25903  SURVIVES ->  needs SAT   pool: 4320 3 1080 5 6 8 9 15 288 270 18 20 216 30 135 36 120 96 48 90 54
  L = 4620     |S| =  23 budget 1.18268  SURVIVES ->  needs SAT   pool: 4620 2310 3 1155 5 6 660 11 14 330 15 308 20 231 21 210 165 30 33 140 35 44 105
  L = 4680     |S| =  23 budget 1.29786  SURVIVES ->  needs SAT   pool: 3 1560 1170 5 936 6 8 585 9 468 15 18 260 20 26 30 156 36 39 120 90 78 65
  L = 5040     |S| =  28 budget 1.42897  SURVIVES ->  needs SAT   pool: 3 1680 1260 5 1008 6 8 9 504 14 15 336 315 18 20 21 210 30 168 35 36 140 120 48 105 56 90 63
  L = 5400     |S| =  23 budget 1.26852  SURVIVES ->  needs SAT   pool: 3 5 1080 6 900 8 9 600 15 18 300 20 270 216 200 30 36 135 120 50 54 90 75
  L = 5670     |S| =  24 budget 1.21323  NODECAP q=3 -> UNDECIDED
  L = 5880     |S| =  20 budget 1.19218  SURVIVES ->  needs SAT   pool: 2940 3 5 6 8 735 14 15 20 21 245 210 30 35 168 140 120 56 105 98
  L = 5940     |S| =  24 budget 1.25842  SURVIVES ->  needs SAT   pool: 3 1485 5 1188 6 9 660 11 495 15 18 330 20 270 30 198 33 36 165 44 135 54 99 90
  L = 6300     |S| =  28 budget 1.28794  NODECAP q=5 -> UNDECIDED
  L = 6480     |S| =  24 budget 1.26358  NODECAP q=3 -> UNDECIDED
  L = 6720     |S| =  25 budget 1.21994  NODECAP q=2 -> UNDECIDED
  L = 6840     |S| =  21 budget 1.22047  SURVIVES ->  needs SAT   pool: 6840 3420 3 2280 5 6 1140 8 9 15 18 380 20 285 30 228 36 120 114 95 90
  L = 6930     |S| =  25 budget 1.31183  SURVIVES ->  needs SAT   pool: 3 2310 5 6 1155 9 11 14 495 15 18 21 330 315 30 231 33 210 35 198 165 63 105 99 90
  L = 7200     |S| =  24 budget 1.26986  SURVIVES ->  needs SAT   pool: 7200 3 2400 5 6 8 900 9 800 600 15 18 20 300 288 30 36 200 48 50 120 75 96 90
  L = 7560     |S| =  33 budget 1.44709  SURVIVES ->  needs SAT   pool: 7560 3780 3 5 6 1260 1080 8 9 14 15 504 18 20 378 21 315 270 30 35 216 36 210 189 168 54 140 56 135 63 120 105 90
  L = 7920     |S| =  26 budget 1.39040  SURVIVES ->  needs SAT   pool: 3 2640 5 1584 6 8 9 11 660 15 495 18 440 20 330 30 33 36 198 44 176 48 165 120 99 90
  L = 8190     |S| =  27 budget 1.26239  SURVIVES ->  needs SAT   pool: 8190 4095 3 5 6 1365 1170 9 14 585 15 546 18 455 21 26 315 30 273 35 39 210 63 65 78 105 90
  L = 8280     |S| =  23 budget 1.26751  SURVIVES ->  needs SAT   pool: 8280 3 2760 5 1656 6 8 9 828 690 15 18 20 414 23 345 30 36 230 138 69 120 90
  L = 8400     |S| =  28 budget 1.24988  SURVIVES ->  needs SAT   pool: 3 2100 5 1680 6 1400 8 14 600 15 525 20 21 350 336 300 30 35 210 200 48 50 168 56 140 120 75 105
  L = 8640     |S| =  24 budget 1.26447  SURVIVES ->  needs SAT   pool: 4320 3 5 1728 6 8 1080 9 15 576 18 20 320 30 288 270 36 216 48 54 135 120 90 96
  L = 8820     |S| =  26 budget 1.26349  SURVIVES ->  needs SAT   pool: 4410 3 2940 5 1764 6 1260 9 735 14 15 18 20 441 21 315 30 35 36 245 210 63 140 105 90 98
  L = 9000     |S| =  23 budget 1.24578  NODECAP q=5 -> UNDECIDED
  L = 9240     |S| =  30 budget 1.34275  SURVIVES ->  needs SAT   pool: 9240 4620 3 2310 5 1848 6 8 1155 11 14 660 15 20 21 440 330 30 308 33 35 231 44 210 168 56 165 140 120 105
  L = 9360     |S| =  26 budget 1.32126  SURVIVES ->  needs SAT   pool: 3 5 6 1560 8 1170 9 1040 936 15 624 585 18 20 468 26 30 36 260 39 48 156 65 78 120 90
  L = 9450     |S| =  25 budget 1.23471  NODECAP q=5 -> UNDECIDED
  L = 9720     |S| =  27 budget 1.24733  NODECAP q=3 -> UNDECIDED
  L = 9900     |S| =  27 budget 1.26636  SURVIVES ->  needs SAT   pool: 9900 4950 3 2475 5 6 1650 9 11 900 15 660 18 20 495 30 330 33 300 36 44 50 198 165 75 90 99
  L = 10080    |S| =  32 budget 1.44742  SURVIVES ->  needs SAT   pool: 10080 3 5 6 1680 8 1260 9 1008 14 15 18 20 504 21 30 336 315 35 288 36 224 48 210 56 168 63 140 120 90 96 105
